Sample,OtolithID,Na,Mg,P,Ba,Sr,Mn,Zn,Ni,Cu,Rb,Cr,Li,Al,Sc,Ti,Y,Pb,Radius_to_pit,Longitude,Latitude,HaulID
Age-1_Oct_equiv,D513,3388.304336,25.20980629,243.1823486,1.523837973,1251.446741,1.967930833,0.212671403,0.193382735,0.421853566,0.071114235,0.979306455,1.230003277,0.093035598,1.02227752,0.04183221,0,0.004945557,729.97,-6.704,57.129,123
Age-1_Oct_equiv,D2263,3434.425437,25.91845828,201.3035505,3.006553154,1526.891631,7.673910055,0.14775076,0.161686802,0.200841009,0.039934696,0.881919414,1.435144054,0,1.001150756,0.047071633,0,0.000767186,665.07,-3.711,54.273,135
Age-1_Oct_equiv,D231,3232.846685,25.25366796,296.8598754,1.784562859,1185.059795,4.43385872,0.558874063,0.2342485,1.812008293,0.088302738,1.106915403,1.362599239,0.890706944,1.00603348,0.04910082,0,0.00692587,532.76,-5.223,55.414,121
Age-1_Oct_equiv,D266,3476.821563,27.87370617,303.4983461,4.992194383,2112.027703,3.002003621,0.544591202,0.14489293,0.107801343,0.089899215,1.058660181,1.394276832,2.365396202,1.021256702,0.063488169,0,0.031991651,858.9,-5.223,55.414,121
Age-1_Oct_equiv,D264,3462.500072,25.24067024,210.1752184,23.26574147,2129.463173,6.003537295,0.308232669,0.137795119,0.157836682,0.061155559,0.772040733,1.491228716,0.624590817,1.012606263,0,0.003602942,0.011512621,676.09,-5.223,55.414,121
Age-1_Oct_equiv,D562,3432.555605,29.28667692,228.1686337,0.880059502,1163.335411,3.186807917,0.308985775,0.120896025,0.297229105,0.075855798,0.932015798,1.521144471,1.774123631,1.007232441,0.03657056,0.000307291,0.013051222,760.33,-8.683,57.309,118
Age-1_Oct_equiv,D571,3349.218925,21.594765,284.2235983,7.73280384,1840.285445,1.814763125,0.141100618,0.162959167,0.165613069,0.099252125,0.86953873,1.454159654,0.149307398,1.010620998,0,0.001501615,0.007939114,575.84,-8.683,57.309,118
Age-1_Oct_equiv,D220,3472.83414,26.07896071,572.1126564,7.376607765,1700.410202,5.723101559,0.149862881,0.118963623,0.14683946,0.076837137,1.155086795,1.364152532,0.076571554,1,0.105768401,0,0,981.99,-5.223,55.414,121
Age-1_Oct_equiv,D371,3280.106438,32.12611055,270.7377816,8.792183135,1702.491253,9.612314645,0.479127071,0.118134334,0.135095053,0.058736995,0.781363613,1.406723053,0.028683128,1.006894604,0.022347205,0,0.004324206,727.92,-6.761,56.188,122
Age-1_Oct_equiv,D556,3570.300222,31.67162376,383.4876945,18.2879698,1873.484806,4.647663502,0.261382844,0.09573833,0.101314312,0.06039334,0.989566291,1.574251338,0,1,0,0,0,874.73,-8.683,57.309,118
Age-1_Oct_equiv,D1827,3364.724119,25.12055222,234.0522684,2.76248715,1600.262284,5.748282111,0.172994554,0.179068722,0.203132523,0.0921847,0.87848058,1.330921997,0.069531225,1,0.026682976,0.001966006,0.006821362,638.84,-5.69,53.626,136
Age-1_Oct_equiv,D758,3164.187976,29.09141749,266.9935205,7.954717241,1372.316964,1.886332183,0.119489334,0.129678089,0.285852695,0.055756475,0.908128631,1.331632393,0.191905383,1.002620084,0,0.001526225,0.001468077,904.68,-6.704,57.129,123
